accepted_name,max_ma,min_ma,ref_author,ref_pubyr,phylum,class,order,family,genus,abund_value,lng,lat,occurrence_comments,collection_name,collection_subset,collection_aka,cc,formation,stratcomments,environment,collectors,taxonomy_comments,primary_reference
Anglibole anglicus,364.7,360.7,Brauckmann et al.,1993,Arthropoda,Trilobita,Proetida,Phillipsiidae,Semiproetus (Anglibole),,7.833333,51.400002,,Ober-RÃ¶dinghausen Bed 01,,"Ober-Roedinghausen D/C boundary section, Famennian part",DE,Wocklum Limestone,Series of beds below the thick (several m) Hangenberg shale interval.,marine indet.,,,"C. Brauckmann, I. Chlupac, and R. Feist. 1993. Trilobites at the Devonian-Carboniferous boundary. Annales de la Societe geologique de Belgique 115(2):507-518"
Anglibole anglicus,364.7,360.7,Brauckmann et al.,1993,Arthropoda,Trilobita,Proetida,Phillipsiidae,Semiproetus (Anglibole),,7.833333,51.400002,,Ober-RÃ¶dinghausen Bed 02,,"Ober-Roedinghausen D/C boundary section, Famennian part",DE,Wocklum Limestone,Series of beds below the thick (several m) Hangenberg shale interval. Klein (2016) puts this into an ammonite zone.,marine indet.,,,"C. Brauckmann, I. Chlupac, and R. Feist. 1993. Trilobites at the Devonian-Carboniferous boundary. Annales de la Societe geologique de Belgique 115(2):507-518"
Anglibole archinalae,364.7,360.7,Feist et al.,2000,Arthropoda,Trilobita,Proetida,Phillipsiidae,Semiproetus (Anglibole),,7.810000,51.395000,,Brook north of Apricke,,,DE,Wocklum Limestone,Topmost Wocklum Limestone,carbonate indet.,Denckmann,,"R. Feist, U. Lemke, and D. Korn. 2000. Trilobiten aus der Wocklumeria-Stufedes h6chsten Oberdevon von Apricke, Sauerland. Senckenbergia Lethaea 79(2):517-539"
Belgibole abruptirhachis,364.7,360.7,Feist,1992,Arthropoda,Trilobita,Proetida,Phillipsiidae,Belgibole,,12.983333,46.666668,,"GrÃ¼ne Schneid, Karnische Alpen, bed 6B",38608,,AT,,latest Famennian,offshore,,,"R. Feist. 1992. Trilobiten aus dem Devon/Karbon-Grenzprofil an der GrÃ¼nen Schneid (Zentrale Karnische Alpen, Ã–sterreich). Jahrbuch der Geologischen Bundesanstalt 135(1):21-47"
Belgibole abruptirhachis,364.7,360.7,SchÃ¶nlaub et al.,1992,Arthropoda,Trilobita,Proetida,Phillipsiidae,Belgibole,,13.000000,47.000000,,"Gruene Schneid Bed 6 (praesulcata Zone) (6a,6b1,6b2,6c)",,,AT,Pal Limestone,,marine indet.,,,"H.P. SchÃ¶nlaub, M. Attrep, and K. Boeckelmann, R. Dreesen, R. Feist, A. Feininger, G. Hahn, P. Klein, D. Korn, R. Kratz, M. Magaritz, CJ Orth, J.-M. Schramm. 1992. The Devonian/Carboniferous Boundary in the Carnic Alps (Austria) - A Multidisciplinary Approach. Jahrbuch der Geologischen Bundesanstalt 135(1):57-98"
Belgibole abruptirhachis,364.7,360.7,Hahn et al.,1990,Arthropoda,Trilobita,Proetida,Phillipsiidae,Belgibole,,7.067000,51.266998,Belgibole abruptirhachis abruptirhachis ,"Area around Aprath, near Wuppertal",,,DE,Stockum,PJW: Stockum Limestone is the formation in this area of this age.,carbonate indet.,,,"G. Hahn, R. Hahn, and C. Wolf. 1990. Belgibole abruptirhachis, Leit-Trilobit an der Devon/Karbon-Grenze. Senckenbergiana lethaea 70(1/3):89-103"
Belgibole abruptirhachis,364.7,360.7,Brauckmann et al.,1993,Arthropoda,Trilobita,Proetida,Phillipsiidae,Belgibole,,7.866667,51.333332,Belgibole abruptirhachis korni,Muessenberg Bed 3,,,DE,Wocklum,,,,,
Belgibole abruptirhachis,364.7,360.7,Brauckmann et al.,1993,Arthropoda,Trilobita,Proetida,Phillipsiidae,Belgibole,,7.866667,51.333332,Belgibole abruptirhachis korni,Muessenberg Bed 3,,,DE,Wocklum,,,,,
Belgibole abruptirhachis,364.7,360.7,Hahn et al.,1990,Arthropoda,Trilobita,Proetida,Phillipsiidae,Belgibole,,7.617000,51.367001,Belgibole abruptirhachis abruptirhachis ,Hasselbachtal near Letmathe,,,DE,Stockum Limestone,PJW: Formation & conodont zone from Becker (1996. New faunal records and holostratigraphic correlation of the Hasselbachtal D/C-boundary auxiliary stratotype (Germany). Annales de la SociÃ©tÃ© gÃ©ologique de Belgique 117:19-45.),carbonate indet.,,,"G. Hahn, R. Hahn, and C. Wolf. 1990. Belgibole abruptirhachis, Leit-Trilobit an der Devon/Karbon-Grenze. Senckenbergiana lethaea 70(1/3):89-103"
Belgibole abruptirhachis,364.7,360.7,Hahn et al.,1990,Arthropoda,Trilobita,Proetida,Phillipsiidae,Belgibole,,8.367000,51.500000,Belgibole abruptirhachis abruptirhachis ,"Provincial â€“ Quarrys Drewer, eastern Quarry, near RÃ¼then",,,DE,Stockum Limestone,"Was just Devonian. However, this trilobite species is a worldwide marker of the kockeli Zone (Yuan and Xiang 1998), which is the very latest Famennian. Becker et al. (2016: MÃ¼nster. Forsch. Geol. PalÃ¤ont. 108) make this the Stockum Limestone.",carbonate indet.,,,"G. Hahn, R. Hahn, and C. Wolf. 1990. Belgibole abruptirhachis, Leit-Trilobit an der Devon/Karbon-Grenze. Senckenbergiana lethaea 70(1/3):89-103"
